,gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
509,0042400407,718,PT01M41.00S,4,0,,1610612754,,,0,0,0,,0,,,0,v,Pacers Rebound,Rebound,Normal Rebound,0,0,510
510,0042400407,719,PT01M41.00S,4,1610612754,IND,1629614,Nembhard,A. Nembhard,0,0,0,,0,98,87,185,v,Nembhard Free Throw 2 of 2 (15 PTS),Free Throw,Free Throw 2 of 2,1,0,511
511,0042400407,720,PT01M26.00S,4,1610612754,IND,1631097,Mathurin,B. Mathurin,0,0,0,,0,,,0,v,Mathurin P.FOUL (P3.PN) (J.Capers),Foul,Personal,1,0,512
512,0042400407,722,PT01M26.00S,4,1610612760,OKC,1631114,Williams,J. Williams,0,0,0,,0,99,87,186,h,Jal. Williams Free Throw 1 of 2 (18 PTS),Free Throw,Free Throw 1 of 2,1,0,513
513,0042400407,723,PT01M26.00S,4,1610612754,IND,204456,McConnell,T. McConnell,0,0,0,,0,,,0,v,SUB: Sheppard FOR McConnell,Substitution,,0,0,514
514,0042400407,725,PT01M26.00S,4,1610612760,OKC,1631114,Williams,J. Williams,0,0,0,,0,100,87,187,h,Jal. Williams Free Throw 2 of 2 (19 PTS),Free Throw,Free Throw 2 of 2,1,0,515
515,0042400407,726,PT01M14.00S,4,1610612754,IND,1629614,Nembhard,A. Nembhard,0,0,0,,0,,,0,v,Nembhard Lost Ball Turnover (P2.T22),Turnover,Lost Ball,1,0,516
516,0042400407,726,PT01M14.00S,4,1610612760,OKC,1629652,Dort,L. Dort,0,0,0,,0,,,0,h,Dort STEAL (3 STL),,,1,0,517
517,0042400407,728,PT01M04.00S,4,1610612754,IND,1627783,Siakam,P. Siakam,0,0,0,,0,,,0,v,Siakam P.FOUL (P2.PN) (J.Tiven),Foul,Personal,1,0,518
518,0042400407,730,PT01M04.00S,4,1610612760,OKC,1631114,Williams,J. Williams,0,0,0,,0,101,87,188,h,Jal. Williams Free Throw 1 of 2 (20 PTS),Free Throw,Free Throw 1 of 2,1,0,519
519,0042400407,731,PT01M04.00S,4,1610612760,OKC,1631114,Williams,J. Williams,0,0,0,,0,,,0,h,MISS Jal. Williams Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,1,0,520
520,0042400407,732,PT01M01.00S,4,1610612754,IND,1641767,Sheppard,B. Sheppard,0,0,0,,0,,,0,v,Sheppard REBOUND (Off:1 Def:3),Rebound,Unknown,1,0,521
521,0042400407,733,PT00M56.60S,4,1610612754,IND,1631097,Mathurin,B. Mathurin,-178,225,29,Missed,1,,,0,v,MISS Mathurin 29' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,1,3,522
522,0042400407,734,PT00M55.40S,4,1610612754,IND,1631097,Mathurin,B. Mathurin,0,0,0,,0,,,0,v,Mathurin REBOUND (Off:7 Def:6),Rebound,Unknown,1,0,523
523,0042400407,735,PT00M55.40S,4,1610612754,IND,1631097,Mathurin,B. Mathurin,0,0,0,,0,,,0,v,Mathurin Step Out of Bounds Turnover (P3.T23),Turnover,Step Out of Bounds Turnover,1,0,524
524,0042400407,736,PT00M33.50S,4,1610612760,OKC,1629652,Dort,L. Dort,230,26,0,Missed,1,,,0,h,MISS Dort 3PT Jump Shot,Missed Shot,Jump Shot,1,3,525
525,0042400407,737,PT00M32.40S,4,0,,1610612760,,,0,0,0,,0,,,0,h,THUNDER Rebound,Rebound,Unknown,1,0,526
526,0042400407,738,PT00M32.40S,4,1610612754,IND,1630167,Toppin,O. Toppin,0,0,0,,0,,,0,v,Toppin L.B.FOUL (P2.PN) (S.Wright),Foul,Loose Ball,1,0,527
527,0042400407,740,PT00M32.40S,4,1610612760,OKC,1631096,Holmgren,C. Holmgren,0,0,0,,0,102,87,189,h,Holmgren Free Throw 1 of 2 (17 PTS),Free Throw,Free Throw 1 of 2,1,0,528
528,0042400407,741,PT00M32.40S,4,1610612760,OKC,1628983,Gilgeous-Alexander,S. Gilgeous-Alexander,0,0,0,,0,,,0,h,SUB: Jones FOR Gilgeous-Alexander,Substitution,,0,0,529
529,0042400407,742,PT00M32.40S,4,1610612760,OKC,1629652,Dort,L. Dort,0,0,0,,0,,,0,h,SUB: Mitchell FOR Dort,Substitution,,0,0,530
530,0042400407,743,PT00M32.40S,4,1610612760,OKC,1631114,Williams,J. Williams,0,0,0,,0,,,0,h,SUB: K. Williams FOR Jal. Williams,Substitution,,0,0,531
531,0042400407,744,PT00M32.40S,4,1610612760,OKC,1627936,Caruso,A. Caruso,0,0,0,,0,,,0,h,SUB: Dieng FOR Caruso,Substitution,,0,0,532
532,0042400407,745,PT00M32.40S,4,1610612754,IND,1629614,Nembhard,A. Nembhard,0,0,0,,0,,,0,v,SUB: Bryant FOR Nembhard,Substitution,,0,0,533
533,0042400407,746,PT00M32.40S,4,1610612754,IND,1627783,Siakam,P. Siakam,0,0,0,,0,,,0,v,SUB: Furphy FOR Siakam,Substitution,,0,0,534
534,0042400407,753,PT00M32.40S,4,1610612760,OKC,1631096,Holmgren,C. Holmgren,0,0,0,,0,103,87,190,h,Holmgren Free Throw 2 of 2 (18 PTS),Free Throw,Free Throw 2 of 2,1,0,535
535,0042400407,754,PT00M25.60S,4,1610612754,IND,1631097,Mathurin,B. Mathurin,10,18,2,Made,1,103,89,192,v,Mathurin 2' Driving Layup (22 PTS),Made Shot,Driving Layup Shot,1,2,536
536,0042400407,755,PT00M19.90S,4,1610612760,OKC,1642349,Mitchell,A. Mitchell,0,0,0,,0,,,0,h,Mitchell Lost Ball Turnover (P1.T8),Turnover,Lost Ball,1,0,537
537,0042400407,755,PT00M19.90S,4,1610612754,IND,1631097,Mathurin,B. Mathurin,0,0,0,,0,,,0,v,Mathurin STEAL (2 STL),,,1,0,538
538,0042400407,757,PT00M19.50S,4,1610612760,OKC,1641794,Jones,D. Jones,0,0,0,,0,,,0,h,Jones S.FOUL (P1.PN) (S.Wright),Foul,Shooting,1,0,539
539,0042400407,759,PT00M19.50S,4,1610612754,IND,1631097,Mathurin,B. Mathurin,0,0,0,,0,103,90,193,v,Mathurin Free Throw 1 of 2 (23 PTS),Free Throw,Free Throw 1 of 2,1,0,540
540,0042400407,760,PT00M19.50S,4,1610612754,IND,1631097,Mathurin,B. Mathurin,0,0,0,,0,103,91,194,v,Mathurin Free Throw 2 of 2 (24 PTS),Free Throw,Free Throw 2 of 2,1,0,541
541,0042400407,761,PT00M00.00S,4,0,,0,,,0,0,0,,0,103,91,194,,End of 4th Period (10:49 PM EST),period,end,1,0,542
